"CUSTOMER_BUSINESS_ID","CUSTOMER_NAME","ADDRESS_LINE_1","CITY","POSTAL_CODE","STATE","ADDRESS_LINE_2","COUNTRY","COUNTY","CUSTOMER_FULL_DETAIL","PHONE","POSTALCODE_EXTENSION"
"CUS0000000011","Sargent Elementary School","400 N 5TH ST","SARGENT","68874-6104","US-NE","","US",,"Sargent Elementary School, 400 N 5TH ST, SARGENT, US-NE, 68874-6104",,
"CUS0000000022","Early Learning Center","9215 29TH ST NE","LAKE STEVENS","98258-4200","US-WA","","US",,"Early Learning Center, 9215 29TH ST NE, LAKE STEVENS, US-WA, 98258-4200",,
"CUS0000000033","Eagle'S Landing Christian Acad","2400 HIGHWAY 42 N","MCDONOUGH","30253-4738","US-GA","","US",,"Eagle'S Landing Christian Acad, 2400 HIGHWAY 42 N, MCDONOUGH, US-GA, 30253-4738",,
"CUS0000000044","Early Childhood Center","905 CARLISLE RD","BATAVIA","60510-3024","US-IL","","US",,"Early Childhood Center, 905 CARLISLE RD, BATAVIA, US-IL, 60510-3024",,
"CUS0000000055","West Elementary School","2350 OSAGE ST","SIDNEY","69162-1875","US-NE","","US",,"West Elementary School, 2350 OSAGE ST, SIDNEY, US-NE, 69162-1875",,
"CUS0000000066","Garden City Community College","801 N CAMPUS DR","GARDEN CITY","67846-6333","US-KS","","US",,"Garden City Community College, 801 N CAMPUS DR, GARDEN CITY, US-KS, 67846-6333",,
"CUS0000000077","Bedford Central School Dist","632 S BEDFORD RD","BEDFORD","10506","US-NY","","US",,"Bedford Central School Dist, 632 S BEDFORD RD, BEDFORD, US-NY, 10506",,
"CUS0000000088","Elm Grove Lutheran School","945 TERRACE DR","ELM GROVE","53122-2035","US-WI","","US",,"Elm Grove Lutheran School, 945 TERRACE DR, ELM GROVE, US-WI, 53122-2035",,
"CUS0000000099","Colegio Ntra Sra de La Altagracia","PO BOX 29493","SAN JUAN","00929-0493","US-PR","","US",,"Colegio Ntra Sra de La Altagracia, PO BOX 29493, SAN JUAN, US-PR, 00929-0493",,
"CUS000000010A","Prairie Home R5 School","301 HIGHWAY DR","PRAIRIE HOME","65068-2333","US-MO","","US",,"Prairie Home R5 School, 301 HIGHWAY DR, PRAIRIE HOME, US-MO, 65068-2333",,
