"CUSTOMER_BUSINESS_ID","CUSTOMER_NAME","ADDRESS_LINE_1","CITY","POSTAL_CODE","STATE","ADDRESS_LINE_2","COUNTRY","COUNTY","CUSTOMER_FULL_DETAIL","PHONE","POSTALCODE_EXTENSION","IDENTIFIER_TYPE","IDENTIFIER_VALUE","ENRICHED_INDICATOR","CONFIDENCE_SCORE","VERIFICATION_MESSAGE","VERIFICATION_STATUS_CODE","ADDRESS_ROLE","CREATED_TIMESTAMP","UPDATED_TIMESTAMP"
"CUS000000164K","Hull Public Library","10 MAIN ST","HULL","02045-111R","US-MA","","US",,"Hull Public Library, 10 MAIN ST, HULL, US-MA, 02045-111R",,,"AgileEd ID","5GXXS5EBNCV0","VALID",0.9544220752,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-04 19:21:47.502",
,"Tykes & Tots","1014B RIDGE RD STE C","COLLEGEVILLE","19426-1179","US-PA","","US",,"Tykes & Tots, 1014B RIDGE RD STE C, COLLEGEVILLE, US-PA, 19426-1179",,,"NWEA SFDC ID","RPF6N3R3K8PV","ERROR",,,,"SCHOOL","2025-10-04 19:02:11.432",
,"Okmulgee High School","415 W 3RD ST","OKMULGEE","74447-3205","US-OK","","US",,"Okmulgee High School, 415 W 3RD ST, OKMULGEE, US-OK, 74447-3205",,,"NCES ID","3NR41RQ7RNTP","ERROR",,,,"OFFICE","2025-10-04 19:02:13.265",
,"SOUTH SIDE ELEMENTARY SCHOOL","198 HIGH ST","CANASTOTA","1303X","NY",,"USA","MADISON","SOUTH SIDE ELEMENTARY SCHOOL, 198 HIGH ST, CANASTOTA, NY, 1303X","(315) 697-6372","1599","NWEA SFDC ID","XNPQYDRB3DOG","ERROR",,,,"SCHOOL","2025-10-04 19:02:14.830",
,"SEQUOIA ELEMENTARY","23958 AVE. 324","LEMON COVE","93244","CA",,"USA","TULARE","SEQUOIA ELEMENTARY, 23958 AVE. 324, LEMON COVE, CA, 93244","NOT AVAILABLE","NOT AVAILABLE","HMH ID","I0VVYB3E5MV0","ERROR",,,,"WAREHOUSE","2025-10-04 19:02:15.443",
"CUS0000004757","Pima Junior High School","130 S MAIN","PIMA","8554M","US-AZ","","US",,"Pima Junior High School 130 S MAIN  PIMA US-AZ 8554M US",,,"HMH SFDC ID","RYAZJ6WUOPZ2","ERROR",0.9401311307,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS0000004757","Pima Junior High School","131 S MAIN","PIMA","85543","US-AZ","","US",,"Pima Junior High School 131 S MAIN  PIMA US-AZ 85543 US",,,"NCES ID","WD62JC0VLKY7","VALID",0.9999995014,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS0000004757","Pima Junior High School","131 S MAIN","PIMA","85543","US-AZ","","US",,"Pima Junior High School 131 S MAIN  PIMA US-AZ 85543 US",,,"HMH SFDC ID","SU6D143MO2OP","VALID",0.9999995014,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS0000004757","Pima Junior High School","131 S MAIN","PIMA","85543","US-AZ","","US",,"Pima Junior High School 131 S MAIN  PIMA US-AZ 85543 US",,,"HMH Ref ID","4EU0DBFDPL7R","VALID",0.9999995014,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000488K","Clifford O Findlay Middle Sch","332 W. TROPICAL PARKWAY","N. LAS VEGAS","89031-1834","US-NV","","US",,"Clifford O Findlay Middle Sch 332 W. TROPICAL PARKWAY  N. LAS VEGAS US-NV 89031-1834 US",,,"HMH ID","E7UTEI5CQOM3","VALID",0.9893897832,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
