"X","Y","OBJECTID","NCESID","NAME","ADDRESS","CITY","STATE","ZIP","ZIP4","TELEPHONE","TYPE","STATUS","POPULATION","COUNTY","COUNTYFIPS","COUNTRY","LATITUDE","LONGITUDE","NAICS_CODE","NAICS_DESC","SOURCE","SOURCEDATE","VAL_METHOD","VAL_DATE","WEBSITE","LEVEL_","ENROLLMENT","ST_GRADE","END_GRADE","DISTRICTID","FT_TEACHER","SHELTER_ID","CUSTOMER_FULL_DATA","CUSTOMER_FULL_DETAIL"
-81.050895171999969,29.022271111000059,2002,120192008041,"SAMSULA ACADEMY","248 N SAMSULA DR","NEW SMYRNA","FL",32168,"8762","(386) 423-6650",1,1,235,"VOLUSIA",12127,"USA",29.0222711110001,-81.0508951720000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120192008041","2014-02-04 00:00:00.000","IMAGERY","2014-05-20 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=120192008041","1",222,"KG","05",1201920,13,"NOT AVAILABLE","SAMSULA ACADEMY 248 N SAMSULA DR NEW SMYRNA FL 32168.00000","SAMSULA ACADEMY 248 N SAMSULA DR NEW SMYRNA FL 32168.00000"
-92.507288425999946,31.180659337000051,2003,220129002344,"CAROLINE DORMON JUNIOR HIGH SCHOOL","8906 HWY 165 SOUTH","WOODWORTH","LA",71485,"NOT AVAILABLE","(318) 473-4066",1,1,333,"RAPIDES",22079,"USA",31.1806593370001,-92.5072884259999,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=220129002344","2015-05-08 00:00:00.000","IMAGERY/OTHER","2015-06-19 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=220129002344","1",312,"PK","08",2201290,21,"NOT AVAILABLE","CAROLINE DORMON JUNIOR HIGH SCHOOL 8906 HWY 165 SOUTH WOODWORTH LA 71485.00000","CAROLINE DORMON JUNIOR HIGH SCHOOL 8906 HWY 165 SOUTH WOODWORTH LA 71485.00000"
-69.971879673999979,43.908147266000064,2004,230378023129,"HARRIET BEECHER STOWE ELEMENTARY","44 MCKEEN STREET","BRUNSWICK","ME",4011,"NOT AVAILABLE","(207) 319-1960",1,1,791,"CUMBERLAND",23005,"USA",43.9081472660001,-69.9718796740000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=230378023129","2014-02-04 00:00:00.000","IMAGERY","2014-05-07 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=230378023129","1",739,"02","05",2303780,52,"NOT AVAILABLE","HARRIET BEECHER STOWE ELEMENTARY 44 MCKEEN STREET BRUNSWICK ME 4011.00000","HARRIET BEECHER STOWE ELEMENTARY 44 MCKEEN STREET BRUNSWICK ME 4011.00000"
-89.542799261999960,32.728496325000030,2005,280252001118,"LEAKE CENTRAL ELEMENTARY SCHOOL","603 HWY. 16 WEST","CARTHAGE","MS",39051,"NOT AVAILABLE","(601) 267-9148",1,1,1222,"LEAKE",28079,"USA",32.7284963250000,-89.5427992620000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=280252001118","2009-10-13 00:00:00.000","IMAGERY/OTHER","2010-07-06 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=280252001118","1",1159,"PK","05",2802520,63,"NOT AVAILABLE","LEAKE CENTRAL ELEMENTARY SCHOOL 603 HWY. 16 WEST CARTHAGE MS 39051.00000","LEAKE CENTRAL ELEMENTARY SCHOOL 603 HWY. 16 WEST CARTHAGE MS 39051.00000"
-94.361775302999945,39.364359238000077,2006,291645000891,"KEARNEY ELEM.","902 S JEFFERSON","KEARNEY","MO",64060,"8518","(816) 628-4113",1,1,296,"CLAY",29047,"USA",39.3643592380001,-94.3617753029999,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=291645000891","2009-10-13 00:00:00.000","IMAGERY/OTHER","2016-07-18 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=291645000891","1",274,"KG","05",2916450,22,"NOT AVAILABLE","KEARNEY ELEM. 902 S JEFFERSON KEARNEY MO 64060.00000","KEARNEY ELEM. 902 S JEFFERSON KEARNEY MO 64060.00000"
-96.657221472999936,40.764351517000065,2007,317284001170,"POUND MIDDLE SCHOOL","4740 S 45TH ST","LINCOLN","NE",68516,"1799","(402) 436-1217",1,1,880,"LANCASTER",31109,"USA",40.7643515170001,-96.6572214729999,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=317284001170","2009-12-10 00:00:00.000","IMAGERY/OTHER","2010-08-23 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=317284001170","2",827,"06","08",3172840,53,"10786596","POUND MIDDLE SCHOOL 4740 S 45TH ST LINCOLN NE 68516.00000","POUND MIDDLE SCHOOL 4740 S 45TH ST LINCOLN NE 68516.00000"
-115.113301772999989,36.148722640000067,2008,320006000384,"JOHN F MILLER SCHOOL","3840 PECOS MCLEOD","LAS VEGAS","NV",89121,"NOT AVAILABLE","(702) 799-7401",2,1,141,"CLARK",32003,"USA",36.1487226400001,-115.1133017730000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=320006000384","2010-01-29 00:00:00.000","IMAGERY","2017-10-31 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=320006000384","4",120,"PK","13",3200060,21,"NOT AVAILABLE","JOHN F MILLER SCHOOL 3840 PECOS MCLEOD LAS VEGAS NV 89121.00000","JOHN F MILLER SCHOOL 3840 PECOS MCLEOD LAS VEGAS NV 89121.00000"
-115.212888977999953,36.007520916000033,2009,320006000700,"LOIS & JERRY TARKANIAN MIDDLE SCHOOL","5800 W. PYLE AVE.","LAS VEGAS","NV",89141,"NOT AVAILABLE","(702) 799-6801",1,1,1810,"CLARK",32003,"USA",36.0075209160000,-115.2128889780000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=320006000700","2010-01-29 00:00:00.000","IMAGERY","2010-05-21 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=320006000700","2",1739,"06","08",3200060,71,"NOT AVAILABLE","LOIS & JERRY TARKANIAN MIDDLE SCHOOL 5800 W. PYLE AVE. LAS VEGAS NV 89141.00000","LOIS & JERRY TARKANIAN MIDDLE SCHOOL 5800 W. PYLE AVE. LAS VEGAS NV 89141.00000"
-74.448768412999982,39.375790673000040,2010,340096000030,"VENICE PARK SCHOOL","1601 N PENROSE AVENUE","ATLANTIC CITY","NJ",8401,"1710","(609) 343-7270",1,1,100,"ATLANTIC",34001,"USA",39.3757906730000,-74.4487684130000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=340096000030","2009-12-10 00:00:00.000","IMAGERY/OTHER","2010-06-28 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=340096000030","1",90,"PK","PK",3400960,10,"NOT AVAILABLE","VENICE PARK SCHOOL 1601 N PENROSE AVENUE ATLANTIC CITY NJ 8401.00000","VENICE PARK SCHOOL 1601 N PENROSE AVENUE ATLANTIC CITY NJ 8401.00000"
-74.348629384999981,40.644444080000028,2011,341776005764,"WESTFIELD SENIOR HIGH SCHOOL","550 DORIAN RD","WESTFIELD","NJ",7090,"3302","(908) 789-4500",1,1,2009,"UNION",34039,"USA",40.6444440800000,-74.3486293850000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=341776005764","2010-01-29 00:00:00.000","IMAGERY/OTHER","2011-11-04 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=341776005764","3",1854,"09","12",3417760,155,"10808941","WESTFIELD SENIOR HIGH SCHOOL 550 DORIAN RD WESTFIELD NJ 7090.00000","WESTFIELD SENIOR HIGH SCHOOL 550 DORIAN RD WESTFIELD NJ 7090.00000"
